identifier;domain;severity;classification;evidence;impact;recommended_treatment;proposed_work_item;dependencies;acceptance_criteria
PSR-011;Data integrity;HIGH;FACT/GAP;Models запрещают update/delete и фиксируют SHA-256 snapshots, но guards находятся преимущественно в application/model layer;Privileged SQL или ошибочный maintenance script может изменить зарегистрированные факты;Least-privilege DB roles, controlled maintenance, periodic integrity scan and break-glass evidence;DATA-INTEGRITY-HARDENING-001;DEPLOYMENT-PROFILE-001;"App role cannot mutate protected history outside approved procedures; integrity report verifies all digests"
PSR-012;Data integrity;HIGH;GAP;Нет подтверждённого scheduled digest/audit consistency scan;Тихое повреждение данных может быть обнаружено поздно или не обнаружено;Добавить read-only integrity command, scheduled run and signed report retention;DATA-INTEGRITY-HARDENING-001;PSR-011;"Injected corruption detected; clean baseline report stored with checksum and timestamp"
PSR-013;Migrations;HIGH;GAP;CI применяет migrations на clean PostgreSQL 18, но не обновляет representative accepted DB snapshots через релизы;Upgrade может пройти на пустой БД и упасть на реальных legacy/data combinations;Создать migration compatibility matrix и upgrade fixtures from accepted backups;MIGRATION-SAFETY-001;BACKUP-RESTORE-DRILL-001;"N-2/N-1 representative snapshots upgrade; object counts and invariants preserved"
PSR-014;Migrations;HIGH;VERIFY;Нет доказательства тестирования migrations при разных наборах inactive/active modules;Upgrade одного продукта может повредить или неожиданно активировать данные отключённого module;Добавить module-set migration scenarios after registry contract;MODULE-MIGRATION-COMPATIBILITY-001;MODULE-REGISTRY-001, MIGRATION-SAFETY-001;Inactive modules migrate safely, remain inactive, preserve data and reactivate successfully
PSR-015;Backup/DR;CRITICAL;GAP;"Runbook существует, но repository evidence не содержит периодического restore certificate; retention policy прямо не утверждена";"Backup может оказаться невосстановимым; неизвестны RPO/RTO";Провести контрольный restore, определить off-host copies, encryption, retention, RPO/RTO and schedule;BACKUP-RESTORE-DRILL-001;DEPLOYMENT-PROFILE-001;Successful restore certificate: checksum, duration, counts, integrity, RPO/RTO and owner
PSR-016;Release/Rollback;CRITICAL;GAP;"Rollback manual; images rebuild from source/ranged dependencies; no immutable release artifact/schema compatibility map";"Повторная сборка может отличаться; rollback code incompatible with DB";Build immutable tagged/digest image, publish manifest/SBOM, rehearse code+DB rollback decision tree;RELEASE-ROLLBACK-001;DEPENDENCY-PROVENANCE-001, MIGRATION-SAFETY-001, PSR-015;Accepted release has image digest, DB compatibility, rollback rehearsal and measured recovery
PSR-017;Dependencies;HIGH;GAP;"pyproject uses version ranges; lock/constraints and image digests not found";Non-reproducible builds and uncontrolled vulnerable updates;Introduce reviewed lock/constraints, update cadence, hashes and base image digests;DEPENDENCY-PROVENANCE-001;SECURITY-BASELINE-001;"Same commit resolves identical dependencies; automated update PRs and vulnerability policy"
PSR-018;Operations;HIGH;GAP;"Health endpoint checks only SELECT 1; no readiness/liveness split or module/storage/migration checks";Service can report ok while critical capability is unusable;Define liveness/readiness/dependency health and deployment gates;OBSERVABILITY-001;DEPLOYMENT-PROFILE-001, MODULE-REGISTRY-001;"Readiness fails on DB/migration/storage/module critical dependency; liveness remains minimal"
PSR-019;Operations;CRITICAL;GAP;No repository evidence of structured logging, correlation IDs, metrics, dashboards, alert rules or retention;"Incidents detected late; diagnosis depends on manual logs and author knowledge";Implement structured logs, request/audit correlation, metrics, alerts, dashboards and retention;OBSERVABILITY-001;DEPLOYMENT-PROFILE-001;Scripted failures trigger alerts and can be traced end-to-end within accepted MTTD/MTTR targets
PSR-020;Incident response;HIGH;GAP;Incident runbook lacks severity matrix, ownership/escalation, notification times and postmortem SLA;"Unclear decisions during outage; recovery delays and repeated incidents";Add operational incident model, contacts/roles, severity/SLA and exercise;INCIDENT-RESPONSE-001;OBSERVABILITY-001;"Tabletop and technical drill completed; roles/timelines/postmortem evidence recorded"
PSR-021;Security;HIGH;GAP;Demo usernames/passwords are emitted in public CI logs;"Credential reuse/social engineering risk; unsafe pattern may leak into pilot";Remove passwords from logs, rotate demo values, generate ephemeral credentials or mask secrets;SECRET-HYGIENE-001;None;"Search history/logs contains no active secrets; demo credentials are generated/rotated and not reusable"
PSR-022;Security;CRITICAL;GAP;"No production mode; secure cookies, HSTS and proxy SSL contract absent from settings";Session theft/downgrade risk if deployed beyond isolated loopback Preview;Add production fail-closed security settings and deployment checks;SECURITY-BASELINE-001;DEPLOYMENT-PROFILE-001;"Django deploy check and external TLS/session tests pass; HTTP downgrade rejected"
PSR-023;Security;HIGH;GAP;No evidence of secret scan, SAST, dependency/container scan, SBOM or image signing in required workflows;Known vulnerabilities and committed secrets may reach release;Add security pipeline with severity policy and signed provenance;SECURITY-PIPELINE-001;DEPENDENCY-PROVENANCE-001;"Blocking scans pass; exceptions time-bound; SBOM and image attestations retained"
PSR-024;Identity/RBAC;HIGH;GAP;Domain authorities are strong, but MFA, privileged session policy, rate limiting, access review and break-glass governance are not proven;Account compromise enables legally/operationally significant actions;Define identity assurance levels, privileged re-auth/MFA, lockout/rate limit, periodic access review;AUTH-RBAC-HARDENING-001;SECURITY-BASELINE-001;"Privileged actions require accepted assurance; stale access revoked; tests cover role/scope/session boundaries"
PSR-025;Uploads;HIGH;VERIFY;Controlled imports exist, but complete FileField/upload/download inventory and MIME/size/AV/quarantine controls not evidenced;Malware, oversized files, path/content-type abuse or data exposure;Inventory all upload surfaces and implement centralized upload policy;UPLOAD-HARDENING-001;SECURITY-BASELINE-001;"All upload endpoints enforce size/type/quarantine/storage/access; malicious fixtures rejected"
PSR-026;Privacy/Retention;HIGH;GAP;"Personnel and operational data exist; no complete retention/deletion/archive/legal-hold matrix verified";Excess retention, unlawful deletion или inability to answer audits;Create data classification and retention matrix per entity/evidence type;DATA-GOVERNANCE-001;NORMATIVE-EVIDENCE follow-up;"Approved retention owner/rules; archive and legal-hold tests; no physical delete of protected facts"
PSR-027;Source governance;HIGH;GAP;SOURCE_REGISTRY exists, but no machine-readable module→mandatory documents/instructions/freshness matrix;"Work item starts without required local/normative evidence; decisions drift";Create MODULE_SOURCE_REQUIREMENTS matrix and preflight gate;MODULE-SOURCE-GOVERNANCE-001;PROJECT-STATE-RECONCILIATION-001;"Every active module/capability resolves required source IDs and freshness; missing source blocks start"
PSR-028;Google Drive;MEDIUM;GAP;Drive role accepted conceptually, but library structure, ownership, checksums and stale-link process are not canonicalized;Lost originals, ambiguous versions, Drive competing with GitHub decisions;Define Drive library taxonomy and GitHub metadata/checksum/link contract;DRIVE-LIBRARY-GOVERNANCE-001;PSR-027;Sample source can be located, checksum-verified and traced to GitHub decision without duplicate owner
PSR-029;Supportability;HIGH;GAP;Runbooks extensive, but independent clean install/restore/upgrade by another specialist not evidenced;"Bus factor remains high; owner becomes operational bottleneck";Run independent handover exercise and publish service catalog/support matrix;SUPPORT-HANDOVER-001;DEPLOYMENT-PROFILE-001, OBSERVABILITY-001, PSR-015;Second specialist performs install, restore, upgrade, rollback and diagnosis without oral instructions
PSR-030;Pilot readiness;CRITICAL;GAP;No single accepted pilot gate combining product, security, DR, operations, UX and support evidence;"Demo may be mislabeled pilot-ready; unsafe deployment decision";Create PILOT_READINESS contract and independent acceptance;PILOT-READINESS-001;All Phase 0-4 critical risks;"All critical risks closed/accepted; pilot checklist evidence and owner approval; limitations explicit"
PSR-031;Performance;MEDIUM;VERIFY;Concurrency tests exist, but no accepted workload model, latency/SLO, capacity or soak test evidence;Pilot degradation under real record volume/concurrent users;Define representative workload and execute load/soak/DB growth tests;PERFORMANCE-BASELINE-001;DEPLOYMENT-PROFILE-001;P95 targets, concurrency, DB size growth and resource headroom accepted
PSR-032;Data portability;HIGH;GAP;No complete export package for records, snapshots, audit, source IDs and future attachments proven;"Vendor/maintainer lock-in; difficult disaster migration or regulatory response";Define canonical export and restore/import verification;DATA-PORTABILITY-001;DATA-GOVERNANCE-001;Export is schema-versioned, checksumed, human/machine readable and round-trip verified
PSR-033;Admin surface;HIGH;VERIFY;"Django admin is globally routed at /admin/; production authorization, audit and network restrictions not evidenced";Privileged bypass of product workflows and module guards;"Inventory admin actions; disable or harden production admin; audit every privileged mutation";AUTH-RBAC-HARDENING-001;MODULE-REGISTRY-001, SECURITY-BASELINE-001;"No protected fact can be mutated/deleted through admin; admin access restricted and audited"
PSR-034;Product sequencing;HIGH;DECISION/GAP;New domain queue is paused, but no accepted split between safe-continuation prerequisites and pilot-only hardening;Either unsafe feature rush or endless platform rewrite;Adopt two gates SAFE-CONTINUATION and PILOT-READY with explicit work-item ordering;INDUSTRIALIZATION-PROGRAM-EXECUTION-001;PROJECT-SUSTAINABILITY-001 user acceptance;"Owner accepts gates; roadmap links every work item to risks and acceptance evidence"
