reference_id;section_no;section_name;document_no;source_name;source_page;source_electronic_storage;source_review_period;normalized_document_class;candidate_module;coverage_class;preliminary_demo_position;decision_status;transcription_confidence;notes
REF-OD-016;3;Нормальный режим;2;Инструкция по разработке бланков и программ переключений, программ опробования устройств АВР;3;+;1 раз в 3 года;Инструкция по разработке переключательных документов;SWITCHING;REFERENCE-DOCUMENT;POST-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-017;3;Нормальный режим;3;Инструкция о порядке оформления, подачи и рассмотрения оперативных заявок на изменение режима или эксплуатационного состояния;3;+;1 раз в 3 года;Инструкция по оперативным заявкам;APPLICATION;REFERENCE-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-018;3;Нормальный режим;4;Перечень сложных переключений, выполняемых по бланкам (типовым бланкам);3;-;1 раз в 3 года;Перечень переключений по бланкам;SWITCHING;REFERENCE-DOCUMENT;POST-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-019;3;Нормальный режим;5;Перечень сложных переключений, выполняемых по программам (типовым программам);3;-;1 раз в 3 года;Перечень переключений по программам;SWITCHING;REFERENCE-DOCUMENT;POST-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-020;3;Нормальный режим;6;Перечень ЛЭП, оборудования и устройств с распределением по способу управления;3;-;1 раз в 3 года;Классификация объектов по способу управления;EQUIPMENT;MASTER-DATA;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-021;3;Нормальный режим;7;Длительно допустимые и аварийно допустимые токовые нагрузки ЛЭП и оборудования;4;-;-;Допустимые токовые нагрузки;EQUIPMENT;SOURCE-FOR-VALIDATION;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-022;3;Нормальный режим;8;Инструкция о порядке использования персоналом средств видеофиксации в электроустановках;4;+;1 раз в 3 года;Инструкция по видеофиксации;WORKPLACE-DOCS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-023;3.1;Ведение документации и оперативных переговоров;1;Инструкция о порядке ведения оперативных переговоров оперативным и оперативно-ремонтным персоналом;4;+;1 раз в 3 года;Инструкция по оперативным переговорам;OPJ;REFERENCE-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-024;3.1;Ведение документации и оперативных переговоров;2;Инструкция о порядке работы с документацией, необходимой для оперативно-технологического управления;4;+;1 раз в 3 года;Инструкция по документации рабочего места;WORKPLACE-DOCS;REFERENCE-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-025;3.1;Ведение документации и оперативных переговоров;3;Инструкция по ведению схем ВЭС и ПС собственных нужд переменного/постоянного тока на бумажном носителе;4;-;1 раз в 3 года;Инструкция по бумажному ведению схем;SCHEMES-DOCUMENTS;REFERENCE-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-026;3.1;Ведение документации и оперативных переговоров;4;Инструкция по ведению схем в АРМ оперативного персонала;4;-;1 раз в 3 года;Инструкция по электронному ведению схем;SCHEMES-DOCUMENTS;REFERENCE-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-027;3.2;Типовые бланки переключений;1;Перечень и комплект типовых бланков переключений по выводу из работы (вводу в работу) ЛЭП, оборудования и устройств РЗА;4;+;-;Типовые бланки переключений;SWITCHING;REFERENCE-DOCUMENT;POST-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-028;3.3;Типовые программы переключений;1;Перечень и комплект типовых программ переключений по выводу из работы (вводу в работу) ЛЭП, оборудования и устройств РЗА;4;+;-;Типовые программы переключений;SWITCHING;REFERENCE-DOCUMENT;POST-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-029;3.4;Программы опробования устройств АВР;1;Перечень и комплект программ опробования устройств АВР;5;+;-;Программы опробования АВР;EQUIPMENT-INSPECTIONS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-030;3.5;Незаполненные листы для печати бланков (программ) переключений;1;Незаполненные листы для печати бланков (программ) переключений;5;-;-;Печатные шаблоны переключательных документов;SWITCHING;SOURCE-BOUND-FORM;POST-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-031;3.6;Использованные бланки (программы) переключений;1;Использованные бланки (программы) переключений;5;-;-;Архив использованных переключательных документов;SWITCHING;ARCHIVE-DOCUMENT;POST-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-032;4;Аварийный режим;1;Инструкция по предотвращению развития и ликвидации нарушений нормального режима в электрической части;5;-;1 раз в 3 года;Противоаварийная инструкция;EMERGENCY-READINESS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-033;4;Аварийный режим;2;Инструкция по передаче оперативной информации об авариях;5;+;1 раз в 3 года;Инструкция по передаче аварийной информации;EMERGENCY-READINESS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-034;5;Автоматизированные системы, связь;3;Перечень и комплект инструкций по эксплуатации и оперативному обслуживанию АСУ ТП, СДТУ, АИИС КУЭ, СОТИ АССО и устройств связи;5;-;1 раз в 3 года;Инструкции по автоматизированным системам и связи;WORKPLACE-DOCS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-035;6;Оборудование;1;Перечень и комплект инструкций по эксплуатации оборудования;5;-;1 раз в 3 года;Эксплуатационные инструкции оборудования;WORKPLACE-DOCS;REFERENCE-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-036;6;Оборудование;2;Инструкция по проведению осмотра оборудования, устройств и сооружений;5;-;1 раз в 3 года;Инструкция по осмотрам;EQUIPMENT-INSPECTIONS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-037;6;Оборудование;3;График проведения оперативным персоналом осмотра оборудования, устройств и сооружений;5;-;-;График осмотров оперативного персонала;EQUIPMENT-INSPECTIONS;PRIMARY-SCHEDULE;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-038;6;Оборудование;4;График проверки и опробования устройств АВР и сигнализации;5;-;-;График проверок АВР и сигнализации;EQUIPMENT-INSPECTIONS;PRIMARY-SCHEDULE;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-039;6;Оборудование;5;График эксплуатационных работ;5;-;1 раз в год;График работ оперативного персонала в порядке текущей эксплуатации;CURRENT-OPERATION-WORKS;PRIMARY-SCHEDULE;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-040;7;РЗА;1;Перечень и комплект инструкций по эксплуатации и оперативному обслуживанию устройств РЗА;6;-;1 раз в 3 года;Инструкции по РЗА;RZA-TM;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-041;7;РЗА;2;Карта уставок устройств РЗА;6;-;-;Карта уставок РЗА;RZA-TM;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-042;8.1;Нормальные схемы;1;Нормальная схема электрических соединений объекта;6;-;1 раз в год;Нормальная электрическая схема;SCHEMES-DOCUMENTS;PRIMARY-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-043;8.1;Нормальные схемы;2;Нормальная схема электрических соединений собственных нужд переменного тока;6;-;1 раз в год;Нормальная схема собственных нужд переменного тока;SCHEMES-DOCUMENTS;PRIMARY-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-044;8.1;Нормальные схемы;3;Нормальная схема электрических соединений собственных нужд постоянного тока;6;-;1 раз в год;Нормальная схема собственных нужд постоянного тока;SCHEMES-DOCUMENTS;PRIMARY-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-045;8.1;Нормальные схемы;4;Нормальная схема электрических соединений внешнего связанного объекта;6;-;1 раз в год;Нормальная схема связанного объекта;SCHEMES-DOCUMENTS;REFERENCE-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-046;8.1;Нормальные схемы;4*;Нормальные схемы системы пожаротушения;6;-;1 раз в год;Нормальная схема системы пожаротушения;SCHEMES-DOCUMENTS;PRIMARY-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;В исходнике номер 4 повторён.
REF-OD-047;8.2;Технологические схемы;1;Перечень и комплект технологических схем;6;-;1 раз в 3 года;Технологические схемы;SCHEMES-DOCUMENTS;PRIMARY-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-048;8.3;Оперативные схемы;1;Оперативная схема собственных нужд переменного тока;6;-;-;Оперативная схема собственных нужд переменного тока;SCHEMES-DOCUMENTS;PRIMARY-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-049;8.3;Оперативные схемы;2;Оперативная схема собственных нужд постоянного тока;6;-;-;Оперативная схема собственных нужд постоянного тока;SCHEMES-DOCUMENTS;PRIMARY-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-050;8.3;Оперативные схемы;2*;Оперативная схема системы пожаротушения;6;-;-;Оперативная схема системы пожаротушения;SCHEMES-DOCUMENTS;PRIMARY-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;В исходнике номер 2 повторён.
REF-OD-051;9;Списки персонала;1;Список персонала с предоставленными правами ответственных за безопасное ведение работ, ведения оперативных переговоров, заявок, переключений, осмотров и разрешений;7;+;-;Список лиц с предоставленными оперативными правами;PERSONNEL-AUTHORITY;PRIMARY-RULESET;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-052;9;Списки персонала;2;Список командированного персонала и персонала подрядных/строительно-монтажных организаций с предоставленными правами;7;+;-;Список подрядного и командированного персонала с правами;PERSONNEL-AUTHORITY;PRIMARY-RULESET;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-053;9;Списки персонала;3;Список персонала системного оператора с правами переговоров, переключений и запроса оперативной информации;7;+;-;Список внешнего диспетчерского персонала с правами;PERSONNEL-AUTHORITY;PRIMARY-RULESET;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-054;10;Технологическое взаимодействие;1;Перечень и комплект положений, определяющих порядок взаимодействия организации с системным оператором;7;+;-;Положения о технологическом взаимодействии;WORKPLACE-DOCS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-055;11;Инструкции системного оператора;1;Перечень и комплект инструкций системного оператора;7;+;-;Инструкции внешнего системного оператора;WORKPLACE-DOCS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-056;12;Журналы;1;Оперативный журнал;7;-;-;Оперативный журнал;OPJ;PRODUCT-MODULE;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-057;12;Журналы;2;Журнал заявок на вывод из работы ЛЭП, оборудования и устройств;7;-;-;Журнал оперативных заявок;APPLICATION;PRODUCT-MODULE;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-058;12;Журналы;3;Журнал распоряжений;8;-;-;Журнал распоряжений;OPERATIONAL-ORDERS;PAPER-WITH-ELECTRONIC-MIRROR;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-059;12;Журналы;4;Журнал учёта работ по нарядам-допускам и распоряжениям для работ в электроустановках;8;-;-;Журналы учёта работ по нарядам и по распоряжениям;WORK-PERMIT;SPLIT-BY-LEGAL-MODE;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;"В ЭОД разделить: электронный журнал работ по нарядам; бумажный журнал работ по распоряжениям с электронной копией."
REF-OD-060;12;Журналы;5;Журнал дефектов оборудования;8;-;-;Журнал дефектов оборудования;DEFECT;PRODUCT-MODULE;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-061;12;Журналы;6;Журнал ввода оборудования в работу;8;-;-;Журнал ввода оборудования в работу;EQUIPMENT-COMMISSIONING;PRODUCT-MODULE;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-062;12;Журналы;7;Журнал РЗА и телемеханики;8;-;-;Журнал РЗА и телемеханики;RZA-TM;PRODUCT-MODULE;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-063;12;Журналы;8;Журнал учёта выдачи ключей от электроустановок;8;-;-;Журнал выдачи/возврата ключей;KEYS;PAPER-FIRST;POST-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-064;12;Журналы;9;Журнал учёта отключений токов КЗ выключателями;8;-;-;Журнал отключений токов КЗ выключателями;BREAKER-INTERRUPTIONS;PRODUCT-MODULE;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-065;12;Журналы;10;Журнал осмотра аккумуляторной батареи;8;-;-;Журнал осмотра аккумуляторной батареи;BATTERY-INSPECTION;PRODUCT-MODULE;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-066;12;Журналы;11;Журнал эксплуатационных работ;8;-;-;Журнал работ в порядке текущей эксплуатации;CURRENT-OPERATION-WORKS;PRODUCT-MODULE;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
