profile_id;module_ids;capability_ids;demo_depths;product_target_modes;normative_evidence_status;local_act_status;proven_legal_mode;planned_work_items;current_code_statuses;acceptance_ids;post_demo_contour;open_gap
PROFILE-EQUIPMENT-INSPECTIONS;EQUIPMENT-INSPECTIONS;CAP-INSPECTION-SCHEDULE|CAP-INSPECTION-CHECKLIST|CAP-INSPECTION-RESULT|CAP-INSPECTION-DEFECT;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;EQUIPMENT-INSPECTIONS-001;ABSENT;AC-INSPECTION-SCHEDULE-001|AC-INSPECTION-CHECKLIST-001|AC-INSPECTION-RESULT-001|AC-INSPECTION-DEFECT-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-RZA-TM;RZA-TM;CAP-RZA-REGISTRY|CAP-RZA-EVENT|CAP-RZA-SETTINGS-REF;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;RZA-TM-001;ABSENT;AC-RZA-REGISTRY-001|AC-RZA-EVENT-001|AC-RZA-SETTINGS-REF-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-PERSONNEL-AUTHORITY;PERSONNEL-AUTHORITY;CAP-PERSONNEL-REGISTRY|CAP-AUTHORITY-GRANTS|CAP-AUTHORITY-ACTION-TIME|CAP-AUTHORITY-EXTERNAL;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;PERSONNEL-AUTHORITY-001;ABSENT;AC-PERSONNEL-REGISTRY-001|AC-AUTHORITY-GRANTS-001|AC-AUTHORITY-ACTION-TIME-001|AC-AUTHORITY-EXTERNAL-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-OPERATIONAL-ORDERS;OPERATIONAL-ORDERS;CAP-ORDERS-MIRROR|CAP-ORDERS-EXECUTION;DEMO-PAPER-MIRROR;PAPER_MIRROR;VERIFY;VERIFY;VERIFY;OPERATIONAL-ORDERS-001;ABSENT;AC-ORDERS-MIRROR-001|AC-ORDERS-EXECUTION-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-PERMIT-WORK-JOURNAL-ORDER-WORK-JOURNAL;PERMIT-WORK-JOURNAL|ORDER-WORK-JOURNAL;CAP-PERMIT-JOURNAL-DERIVED|CAP-ORDER-WORK-MIRROR;DEMO-FUNCTIONAL|DEMO-PAPER-MIRROR;ELECTRONIC_ORIGINAL_TARGET|PAPER_MIRROR;VERIFY;VERIFY;VERIFY;PERMIT-WORK-JOURNAL-001|ORDER-WORK-JOURNAL-001;ABSENT|ABSENT;AC-PERMIT-JOURNAL-001|AC-ORDER-WORK-JOURNAL-001;;"Split into permit electronic journal and order-work paper mirror; exact forms/proven modes VERIFY."
PROFILE-DEFECT;DEFECT;CAP-DEFECT-REGISTRY|CAP-DEFECT-LIFECYCLE|CAP-DEFECT-OPJ-LINK;DEMO-FUNCTIONAL;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;DEFECT-001;IMPLEMENTED-ACCEPTED;AC-DEFECT-REGISTRY-001|AC-DEFECT-LIFECYCLE-001|AC-DEFECT-OPJ-LINK-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-EQUIPMENT-COMMISSIONING;EQUIPMENT-COMMISSIONING;CAP-COMMISSIONING-RECORD;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;EQUIPMENT-COMMISSIONING-001;ABSENT;AC-COMMISSIONING-RECORD-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-WORKPLACE-DOCS-2;WORKPLACE-DOCS;CAP-WORKPLACE-REGISTRY|CAP-WORKPLACE-REVISION|CAP-WORKPLACE-COMPLETENESS|CAP-WORKPLACE-FAMILIARIZATION;DEMO-REFERENCE;REFERENCE;VERIFY;VERIFY;VERIFY;WORKPLACE-DOCS-001;IMPLEMENTED-PARTIAL;AC-WORKPLACE-REGISTRY-001|AC-WORKPLACE-REVISION-001|AC-WORKPLACE-COMPLETENESS-001|AC-WORKPLACE-FAMILIARIZATION-001;KEYS;"Electronic KEYS is post-demo; Demo keeps paper-first reference."
PROFILE-BREAKER-INTERRUPTIONS;BREAKER-INTERRUPTIONS;CAP-BREAKER-EVENT|CAP-BREAKER-RESOURCE;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;BREAKER-INTERRUPTIONS-001;ABSENT;AC-BREAKER-EVENT-001|AC-BREAKER-RESOURCE-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-BATTERY-INSPECTION;BATTERY-INSPECTION;CAP-BATTERY-CHECKLIST|CAP-BATTERY-MEASUREMENTS;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;BATTERY-INSPECTION-001;ABSENT;AC-BATTERY-CHECKLIST-001|AC-BATTERY-MEASUREMENTS-001;;Exact fields, local act and proven legal mode VERIFY.
