source_id;product;developer;country;source_type;title;url;page_slide_timecode;accessed;evidence_mark;limitations_notes
SRC-011;Обходы / Журнал дефектов / ТО;ПАО «ТГК-1»;Россия;Официальная новость внедрения;ТГК-1 поделилось опытом внедрения цифровых систем;https://www.tgc1.ru/press-center/news/i/item/29565/;абзац о трёх модулях;2026-07-29;OFFICIAL CLAIM;Подтверждает контур обход → дефект → ТО.
SRC-012;СИГМА.АЛЬКОР Мобильный обходчик;ГК «СИГМА»;Россия;Отраслевая презентация разработчика;СИГМА.АЛЬКОР — Мобильный обходчик;https://globalcio.ru/upload/main/6bb/qwpmzf6d1b4q6xuckp9psperwadmci9h.pdf;слайды 2–6;2026-07-29;OFFICIAL CLAIM + VISIBLE IN UI;Маршрутные карты, роли, NFC, измерения, дефекты, АИС ТОРО.
SRC-013;АИС «Мобильный обходчик»;Отраслевой центр компетенций / участники проекта;Россия;Отраслевая презентация;АИС «Мобильный обходчик»;https://www.digital-energy.ru/wp-content/uploads/2025/02/%D0%90%D0%98%D0%A1-%D0%9C%D0%BE%D0%B1%D0%B8%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D0%BE%D0%B1%D1%85%D0%BE%D0%B4%D1%87%D0%B8%D0%BA.pdf;слайды о целях и ИТ-ландшафте;2026-07-29;OFFICIAL CLAIM;Конкретный поставщик требует уточнения.
SRC-014;Акрон.Обходчик;ПАО «Акрон»;Россия;Официальная новость внедрения;«Акрон» внедрил систему мобильного обходчика;https://www.acron.ru/press-center/press-releases/201073/;вся публикация;2026-07-29;OFFICIAL CLAIM;"900 пользователей; online/offline."
SRC-015;NPT Expert — Бланки переключений;НПТ / разработчик решения;Россия;Отраслевая публикация;Модуль «Бланки переключений»;https://www.eprussia.ru/epr/257/16491.htm;описание продукта;2026-07-29;UNVERIFIED;Не найден актуальный официальный продуктовый раздел.
SRC-016;АСУРЭО — оперативные заявки;Разработчик АСУРЭО;Россия;Официальный сайт;АСУРЭО;https://www.asureo.ru/;разделы оперативных заявок и ремонтов;2026-07-29;OFFICIAL CLAIM;"Вертикальный модуль внутри отраслевой платформы; UI раскрыт ограниченно."
SRC-017;j5 OMS;Hexagon;международный;Официальная брошюра;j5 Operations Management Solutions Overview;https://bynder.hexagon.com/m/6c8ecc76bce42ca8/original/PPM_j5_SuiteOverview_SolutionSheet_A4.pdf;перечень приложений;2026-07-29;OFFICIAL CLAIM;Только общие workflow/UX-паттерны.
SRC-018;j5 Permit to Work / Action Management;Hexagon;международный;Официальная брошюра;Ten Operations Procedures Transformed by j5;https://bynder.hexagon.com/m/2606fe7616d816ed/original/PPM_j5_CommonOperationsProcedures_TenReasons_A4.pdf;страница 2, пункты 5 и 10;2026-07-29;OFFICIAL CLAIM;"Аудит PTW; действия; permit summaries в handover."
SRC-019;j5 Shift Handover;Hexagon;международный;Официальная брошюра;Digitize Your Paper Shift Handovers;https://bynder.hexagon.com/m/30a7aaca548462d3/original/PPM_j5_PaperShiftHandover_Brochure_A4.pdf;страницы 5 и 7;2026-07-29;OFFICIAL CLAIM + VISIBLE IN UI;Auditable workflow, поиск, интеграции, acknowledgement.
SRC-020;j5 Standing Orders;Hexagon;международный;Официальная страница/видео;j5 Standing Orders Overview;https://aliresources.hexagon.com/operations-maintenance/j5-standing-orders-overview;вся страница;2026-07-29;OFFICIAL CLAIM;"Audit trail; UI-видео доступно на странице."
SRC-021;j5 Operator Rounds;Hexagon;международный;Официальная брошюра;j5 Operator Rounds;https://bynder.hexagon.com/m/3db078ab8d12b446/original/PPM_j5_OperatorRounds_Brochure_A4.pdf;страницы об интеграциях;2026-07-29;OFFICIAL CLAIM;Интеграция с handover, permit, work instructions, SAP/Maximo/PI.
SRC-022;AVEVA Mobile Operator;AVEVA;международный;Официальная продуктовая страница;AVEVA Mobile Operator;https://www.aveva.com/en/products/mobile-operator/;features и FAQ;2026-07-29;OFFICIAL CLAIM + VISIBLE IN UI;Пошаговые процедуры, мобильные устройства, интеграции.
SRC-023;AVEVA Mobile Rounds;AVEVA;международный;Официальная документация;Welcome to AVEVA Mobile Rounds;https://docs.aveva.com/bundle/mobile-rounds/page/1523576.html;вводная страница;2026-07-29;OFFICIAL CLAIM;"Гибридное решение; детали UI в документации."
SRC-024;Sphera Permit to Work;Sphera;международный;Официальная продуктовая страница;Permit To Work;https://sphera.com/solutions/process-safety-management/control-of-work/permit-to-work/;вся страница;2026-07-29;OFFICIAL CLAIM + VISIBLE IN UI;Permits, isolations, hazards, shifts, SIMOPS.
SRC-025;Enablon Control of Work;Wolters Kluwer Enablon;международный;Официальная продуктовая страница;Control of Work Software;https://enablon.com/solutions/control-of-work-software/;вся страница;2026-07-29;OFFICIAL CLAIM;PTW, isolation, risk assessment, mobile, SIMOPS.
SRC-026;Synergi Life Permit Management;DNV;международный;Официальная продуктовая страница;Permit management software;https://www.dnv.com/services/permit-management-software/;вся страница;2026-07-29;OFFICIAL CLAIM;Многоступенчатое согласование, real-time status, handover.
SRC-027;iPermit;IAMTech;Великобритания;Официальная продуктовая страница;Permit to Work Software & Control of Work;https://www.iamtech.com/products/permit-software;вся страница;2026-07-29;OFFICIAL CLAIM;PTW, isolations, SIMOPS, competency verification.
